source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
C-AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_IMG_STCM,C-AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
C-AJCC/UICC-STAGE-3E,0,NCRAS_TUMOUR_STAGE_IMG_STCM,C-AJCC/UICC-STAGE-3E,1634876,Cancer Modifier,2022-05-09,2099-12-31,
C-AJCC/UICC-STAGE-3S,0,NCRAS_TUMOUR_STAGE_IMG_STCM,C-AJCC/UICC-STAGE-3S,1634876,Cancer Modifier,2022-05-09,2099-12-31,
C-AJCC/UICC-STAGE-4S,0,NCRAS_TUMOUR_STAGE_IMG_STCM,C-AJCC/UICC-STAGE-4S,1634447,Cancer Modifier,2022-05-09,2099-12-31,
C-7TH_AJCC/UICC-STAGE-?,0,NCRAS_TUMOUR_STAGE_IMG_STCM,C-7TH_AJCC/UICC-STAGE-?,35919533,NAACCR,1970-01-01,2099-12-31,
