source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
BRACHYTHERAPY,0,NCRAS_TREATMENT_RADIO_STCM,Brachytherapy,40317890,SNOMED,2018-07-31,2099-12-31,
EXTERNAL BEAM,0,NCRAS_TREATMENT_RADIO_STCM,EXTERNAL BEAM,4141448,SNOMED,2002-01-31,2099-12-31,
INTRACAVITARY OR INTERSTITIAL,0,NCRAS_TREATMENT_RADIO_STCM,Brachytherapy,40317890,SNOMED,2023-12-01,2099-12-31,
RADIOACTIVE ISOTOPES,0,NCRAS_TREATMENT_RADIO_STCM,RADIOACTIVE ISOTOPES,4161415,SNOMED,2003-01-31,2099-12-31,
