source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
A,0,NCRAS_TUMOUR_DUKES_STCM,Dukes stage A,4191720,SNOMED,2003-01-31,2099-12-31,
B,0,NCRAS_TUMOUR_DUKES_STCM,Dukes stage B,4216304,SNOMED,2003-01-31,2099-12-31,
C,0,NCRAS_TUMOUR_DUKES_STCM,Dukes stage C,1635190,Cancer Modifier,2022-05-09,2099-12-31,
C1,0,NCRAS_TUMOUR_DUKES_STCM,Dukes stage C1,4192885,SNOMED,2003-01-31,2099-12-31,
C2,0,NCRAS_TUMOUR_DUKES_STCM,Dukes stage C2,4215419,SNOMED,2003-01-31,2099-12-31,
D,0,NCRAS_TUMOUR_DUKES_STCM,Dukes stage D,4192886,SNOMED,2003-01-31,2099-12-31,
