source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
ANN_ARBOR-2B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-2B,1634430,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-2X,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-2X,1634430,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3A,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3AE,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3AE,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3B,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3BE,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3BE,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3BS,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3BS,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3BX,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3BX,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-3X,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-3X,1635140,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4A,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4AE,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4AE,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4B,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4BE,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4BE,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4BEX,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4BEX,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4BS,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4BES,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4BX,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4BX,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4E,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4E,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4ES,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4ES,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ANN_ARBOR-4S,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ANN_ARBOR-4S,1633464,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-1,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-1,1635838,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-1A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-1A,1635838,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-1B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-1B,1635838,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-2A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-2A,1635131,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-2B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-2B,1635131,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-3A,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-3A,1634191,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-3B,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-3B,1634191,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-4,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-4,1633987,Cancer Modifier,2022-05-09,2099-12-31,
ENETS 2007-?,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-U,35919533,NAACCR,1970-01-01,2099-12-31,
ENETS 2007-U,0,NCRAS_TUMOUR_STAGE_BEST_STCM,ENETS 2007-U,35919533,NAACCR,1970-01-01,2099-12-31,
FIGO-2C,0,NCRAS_TUMOUR_STAGE_BEST_STCM,FIGO-2C,1634127,Cancer Modifier,2022-05-09,2099-12-31,
FIGO-3A1I,0,NCRAS_TUMOUR_STAGE_BEST_STCM,FIGO-3A1I,1634024,Cancer Modifier,2022-05-09,2099-12-31,
FIGO-3A1II,0,NCRAS_TUMOUR_STAGE_BEST_STCM,FIGO-3A1II,1634024,Cancer Modifier,2022-05-09,2099-12-31,
FIGO-3BII,0,NCRAS_TUMOUR_STAGE_BEST_STCM,FIGO-3BII,1634024,Cancer Modifier,2022-05-09,2099-12-31,
