source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
AJCC/UICC-TS,0,NCRAS_TUMOUR_TNM_BEST_STCM,AJCC/UICC-TS,1635682,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-M2,0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-M2,1633696,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-T11,0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-T11,1633390,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-T2S,0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-T2S,1634506,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-T3/4,0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-T3/4,1634576,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-T3S,0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-T3S,1635854,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-TIS(LCIS),0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-TIS(LCIS),1633798,Cancer Modifier,2022-05-09,2099-12-31,
7TH_AJCC/UICC-TS,0,NCRAS_TUMOUR_TNM_BEST_STCM,7TH_AJCC/UICC-TS,1633390,Cancer Modifier,2022-05-09,2099-12-31,
8TH_AJCC/UICC-M9,0,NCRAS_TUMOUR_TNM_BEST_STCM,8TH_AJCC/UICC-M9,1634340,Cancer Modifier,2022-05-09,2099-12-31,
8TH_AJCC/UICC-N9,0,NCRAS_TUMOUR_TNM_BEST_STCM,8TH_AJCC/UICC-N9,1634216,Cancer Modifier,2022-05-09,2099-12-31,
8TH_AJCC/UICC-T3S,0,NCRAS_TUMOUR_TNM_BEST_STCM,8TH_AJCC/UICC-T3S,1633528,Cancer Modifier,2022-05-09,2099-12-31,
8TH_AJCC/UICC-TIS(LCIS),0,NCRAS_TUMOUR_TNM_BEST_STCM,8TH_AJCC/UICC-TIS(LCIS),1634720,Cancer Modifier,2022-05-09,2099-12-31,
