source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
2/CZ001,0,NCRAS_TREATMENT_SITE_CZ00_STCM,CT scan with unspecified contrast/Whole body,4060500,SNOMED,2002-01-31,2099-12-31,
2A/CZ001,0,NCRAS_TREATMENT_SITE_CZ00_STCM,CT scan with contrast/Whole body,4060500,SNOMED,2002-01-31,2099-12-31,
3/CZ001,0,NCRAS_TREATMENT_SITE_CZ00_STCM,MRI scan with unspecified contrast/Whole body,37208979,SNOMED,2019-06-01,2099-12-31,
3A/CZ001,0,NCRAS_TREATMENT_SITE_CZ00_STCM,MRI scan with contrast/Whole body,37208979,SNOMED,2019-06-01,2099-12-31,
4/CZ001,0,NCRAS_TREATMENT_SITE_CZ00_STCM,PET Scan/Whole body,45765752,SNOMED,2014-07-31,2099-12-31,
6/CZ001,0,NCRAS_TREATMENT_SITE_CZ00_STCM,Nuclear Medicine imaging,3031410,LOINC,2005-08-08,2099-12-31,
5/CZ002,0,NCRAS_TREATMENT_SITE_CZ00_STCM,Ultrasound/Multiple sites,4193251,SNOMED,2002-01-31,2099-12-31,
