source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
Bangladesi,0,CPRD_ETHNIC_STCM,Bangladeshi,38003575,Race,2003-01-31,2099-12-31,
Bl_Afric,0,CPRD_ETHNIC_STCM,Black_African,38003598,Race,1970-01-01,2099-12-31,
Bl_Carib,0,CPRD_ETHNIC_STCM,Black_Caribbean,38003598,Race,1970-01-01,2099-12-31,
Bl_Other,0,CPRD_ETHNIC_STCM,Black_Other,38003598,Race,1970-01-01,2099-12-31,
Chinese,0,CPRD_ETHNIC_STCM,Chinese,38003579,Race,1970-01-01,2099-12-31,
Indian,0,CPRD_ETHNIC_STCM,Indian,38003574,Race,1970-01-01,2099-12-31,
Oth_Asian,0,CPRD_ETHNIC_STCM,Other_Asian,8515,Race,2003-01-31,2099-12-31,
Pakistani,0,CPRD_ETHNIC_STCM,Pakistani,38003589,Race,1970-01-01,2099-12-31,
White,0,CPRD_ETHNIC_STCM,White,8527,Race,1970-01-01,2099-12-31,
